,TRACK_ID,FILENAME,BOUT_START,BOUT_END,PECKING,PECKING_FRAMES,MOULT,VIDEO_DURATION,BOUT_LENGTH,DATE,GROUP,TIME,GROUP_ID
146,489.0,20240805_1_00035.mp4,3953.0,3954.0,0,0.0,1.0,164.16,2.0,20240805,1,8.416666666666666,cmra
147,490.0,20240805_1_00035.mp4,3955.0,3956.0,0,0.0,1.0,164.16,2.0,20240805,1,8.416666666666666,cmra
148,493.0,20240805_1_00035.mp4,3971.0,4104.0,2,15.0,1.0,164.16,134.0,20240805,1,8.416666666666666,cmra
149,494.0,20240805_1_00035.mp4,4022.0,4104.0,0,0.0,1.0,164.16,83.0,20240805,1,8.416666666666666,cmra
150,595.0,20240806_10_00056.mp4,0.0,13.0,0,0.0,0.5,133.44,14.0,20240806,10,11.583333333333334,jgr
151,596.0,20240806_10_00056.mp4,3.0,34.0,0,0.0,0.3,133.44,32.0,20240806,10,11.583333333333334,jgr
152,598.0,20240806_10_00056.mp4,40.0,76.0,1,11.0,0.6764705882352942,133.44,37.0,20240806,10,11.583333333333334,jgr
153,604.0,20240806_10_00056.mp4,58.0,61.0,1,2.0,0.6666666666666666,133.44,4.0,20240806,10,11.583333333333334,jgr
154,606.0,20240806_10_00056.mp4,96.0,295.0,2,,0.4879518072289157,133.44,200.0,20240806,10,11.583333333333334,jgr
155,607.0,20240806_10_00056.mp4,148.0,183.0,0,0.0,0.9090909090909091,133.44,36.0,20240806,10,11.583333333333334,jgr
156,609.0,20240806_10_00056.mp4,225.0,226.0,0,0.0,1.0,133.44,2.0,20240806,10,11.583333333333334,jgr
157,610.0,20240806_10_00056.mp4,251.0,251.0,0,0.0,1.0,133.44,1.0,20240806,10,11.583333333333334,jgr
158,611.0,20240806_10_00056.mp4,257.0,297.0,0,0.0,0.8,133.44,41.0,20240806,10,11.583333333333334,jgr
159,613.0,20240806_10_00056.mp4,300.0,409.0,0,0.0,0.5454545454545454,133.44,110.0,20240806,10,11.583333333333334,jgr
160,614.0,20240806_10_00056.mp4,302.0,435.0,0,0.0,0.6865671641791045,133.44,134.0,20240806,10,11.583333333333334,jgr
161,615.0,20240806_10_00056.mp4,361.0,387.0,0,0.0,1.0,133.44,27.0,20240806,10,11.583333333333334,jgr
162,617.0,20240806_10_00056.mp4,440.0,506.0,1,3.0,0.4,133.44,67.0,20240806,10,11.583333333333334,jgr
163,618.0,20240806_10_00056.mp4,447.0,449.0,0,0.0,1.0,133.44,3.0,20240806,10,11.583333333333334,jgr
164,621.0,20240806_10_00056.mp4,487.0,637.0,0,0.0,0.8333333333333334,133.44,151.0,20240806,10,11.583333333333334,jgr
165,626.0,20240806_10_00056.mp4,587.0,603.0,0,0.0,0.4375,133.44,17.0,20240806,10,11.583333333333334,jgr
